,360,361,362,363
SIE-Scwrlmut,0.10262147022293949,0.20976491501680694,0.12389614417751925,0.17770213460217163
SIE-Rosmut,0.14051539206082578,0.04127147187368177,0.06310792662760625,0.04114868065943383
SIE-Rosiface-sc,0.023026561495820896,0.031134223555030167,0.03176541824250731,0.027524154996938607
SIE-RosCDR-loop,0.041087159740695725,0.045605937571837105,0.0891205571256173,0.04472645814791043
Rosmut,0.1186373328204699,0.22937966831498305,0.16353448960058953,0.2268784323985689
Rosiface-sc,0.05481842547872121,0.053556898356247835,0.05622010226658726,0.06218106799633691
RosCDR-loop,0.034729747344131874,0.038645848666661216,0.048105624507170444,0.03357672328507576
FoldXS,0.047167226522050326,0.051473141652693476,0.042975188267970976,0.0668233517744689
FoldXB,0.040936535683152545,0.03516303405467029,0.0449941141918687,0.03824137705941538
DS-B,0.1778707185846411,0.08638595699175991,0.13796988354993608,0.12388468989863807
DS-S,0.046011761933937724,0.03279172445589227,0.06123173417388676,0.06626591203624628
mCSM-AB,0.17257766811261352,0.14482717948973595,0.13707881726874016,0.09104701714479538
