,600,601,602,603
SIE-Scwrlmut,0.04222706288821366,0.20326473825937968,0.1577646916821863,0.14146666872401442
SIE-Rosmut,0.030115840079777696,0.04310509555483761,0.028757375469340485,0.033468767306169454
SIE-Rosiface-sc,0.03238966197965858,0.03605241237747624,0.016490972285958066,0.016708556439531126
SIE-RosCDR-loop,0.03138541093890195,0.027025114816379724,0.0979587159225641,0.07624424515392705
Rosmut,0.3488529240921355,0.12901684586756695,0.11300817191012318,0.23828025554310148
Rosiface-sc,0.05246198062431112,0.05754988671554261,0.026785663802403954,0.06489398161526513
RosCDR-loop,0.050907372192090065,0.03447019987445412,0.03643318212141468,0.02075698280188494
FoldXS,0.05891678558757849,0.047904807998381496,0.06544012001571563,0.06883407634064094
FoldXB,0.08694742615167671,0.04185129580441337,0.024840280638686422,0.032040202545204094
DS-B,0.06340837493837133,0.21263748382515069,0.260350747017045,0.1536721165775686
DS-S,0.053467075499387916,0.057182740811309994,0.0408509843141782,0.05132231395195967
mCSM-AB,0.14892008502789708,0.10993937809510745,0.1313190948203839,0.10231183300073306
